% Altitude (m),CG location (cm),Mach number
31.592,457.67,0.05938
31.793,457.67,0.059572
31.994,457.67,0.059765
32.196,457.67,0.059957
32.399,457.67,0.06015
32.602,457.66,0.060352
32.806,457.66,0.060554
33.011,457.66,0.060756
33.216,457.66,0.060959
33.422,457.66,0.061161
33.628,457.65,0.061354
33.836,457.65,0.061547
34.043,457.65,0.06174
34.252,457.65,0.061934
34.461,457.65,0.062127
34.671,457.65,0.062325
34.882,457.64,0.062523
35.093,457.64,0.062721
35.305,457.64,0.062919
35.517,457.64,0.063117
35.73,457.64,0.063311
35.944,457.63,0.063505
36.159,457.63,0.063699
36.374,457.63,0.063893
36.589,457.63,0.064087
36.806,457.63,0.064283
37.023,457.63,0.06448
37.241,457.62,0.064676
37.459,457.62,0.064873
37.678,457.62,0.065069
37.898,457.62,0.065274
38.119,457.62,0.065479
38.34,457.61,0.065685
38.562,457.61,0.06589
38.784,457.61,0.066096
39.007,457.61,0.066283
39.231,457.61,0.06647
39.455,457.6,0.066657
39.68,457.6,0.066845
39.906,457.6,0.067033
40.133,457.6,0.067233
40.36,457.6,0.067433
40.587,457.6,0.067633
40.816,457.59,0.067833
41.045,457.59,0.068033
41.275,457.59,0.068226
41.505,457.59,0.068419
41.736,457.59,0.068612
41.968,457.58,0.068805
42.2,457.58,0.068998
42.434,457.58,0.069203
42.667,457.58,0.069408
42.902,457.58,0.069613
43.137,457.58,0.069818
43.373,457.57,0.070024
43.609,457.57,0.070217
43.846,457.57,0.070411
44.084,457.57,0.070604
44.322,457.57,0.070798
44.562,457.56,0.070992
44.801,457.56,0.071191
45.042,457.56,0.071389
45.283,457.56,0.071588
45.525,457.56,0.071788
45.767,457.56,0.071987
46.01,457.55,0.072177
46.254,457.55,0.072367
46.499,457.55,0.072557
46.744,457.55,0.072747
46.99,457.55,0.072937
47.236,457.54,0.073138
47.483,457.54,0.073339
47.731,457.54,0.07354
47.98,457.54,0.073742
48.229,457.54,0.073943
48.479,457.53,0.074136
48.729,457.53,0.074329
48.98,457.53,0.074523
49.232,457.53,0.074716
49.485,457.53,0.07491
49.738,457.53,0.075093
49.992,457.52,0.075277
50.247,457.52,0.075461
50.502,457.52,0.075646
50.758,457.52,0.075831
51.014,457.52,0.076035
51.272,457.51,0.07624
51.53,457.51,0.076445
51.788,457.51,0.07665
52.048,457.51,0.076855
52.308,457.51,0.077056
52.568,457.51,0.077256
52.83,457.5,0.077457
53.092,457.5,0.077658
53.354,457.5,0.077859
53.618,457.5,0.078055
53.882,457.5,0.078252
54.147,457.49,0.078449
54.412,457.49,0.078646
54.678,457.49,0.078844
54.945,457.49,0.079043
55.212,457.49,0.079243
55.481,457.48,0.079442
55.749,457.48,0.079642
56.019,457.48,0.079842
56.289,457.48,0.080031
56.56,457.48,0.080221
56.831,457.48,0.080411
57.104,457.47,0.080601
57.377,457.47,0.080791
57.65,457.47,0.080999
57.924,457.47,0.081207
58.199,457.47,0.081416
58.475,457.46,0.081624
58.751,457.46,0.081832
59.028,457.46,0.082027
59.306,457.46,0.082221
59.584,457.46,0.082415
59.863,457.45,0.08261
60.143,457.45,0.082804
60.423,457.45,0.083009
60.705,457.45,0.083213
60.986,457.45,0.083418
61.269,457.45,0.083622
61.552,457.44,0.083827
61.836,457.44,0.084037
62.12,457.44,0.084246
62.405,457.44,0.084456
62.691,457.44,0.084666
62.978,457.43,0.084876
63.265,457.43,0.085066
63.553,457.43,0.085257
63.842,457.43,0.085449
64.131,457.43,0.08564
64.421,457.42,0.085832
64.712,457.42,0.086031
65.003,457.42,0.086231
65.295,457.42,0.08643
65.588,457.42,0.08663
65.881,457.42,0.08683
66.176,457.41,0.08703
66.47,457.41,0.08723
66.766,457.41,0.087431
67.062,457.41,0.087631
67.359,457.41,0.087831
67.657,457.4,0.08803
67.955,457.4,0.088228
68.254,457.4,0.088426
68.553,457.4,0.088625
68.854,457.4,0.088824
69.155,457.39,0.089027
69.456,457.39,0.089231
69.759,457.39,0.089435
70.062,457.39,0.089639
70.366,457.39,0.089843
70.67,457.39,0.090047
70.975,457.38,0.090251
71.281,457.38,0.090455
71.588,457.38,0.090659
71.895,457.38,0.090863
72.203,457.38,0.091066
72.512,457.37,0.09127
72.821,457.37,0.091474
73.131,457.37,0.091678
73.442,457.37,0.091882
73.753,457.37,0.092093
74.065,457.36,0.092304
74.378,457.36,0.092515
74.692,457.36,0.092726
75.006,457.36,0.092937
75.321,457.36,0.093133
75.636,457.35,0.093328
75.953,457.35,0.093524
76.27,457.35,0.09372
76.587,457.35,0.093916
76.906,457.35,0.094118
77.225,457.35,0.094321
77.544,457.34,0.094523
77.865,457.34,0.094725
78.186,457.34,0.094928
78.508,457.34,0.095131
78.83,457.34,0.095335
79.154,457.33,0.095539
79.478,457.33,0.095743
79.802,457.33,0.095947
80.128,457.33,0.096159
80.454,457.33,0.09637
80.78,457.32,0.096582
81.108,457.32,0.096794
81.436,457.32,0.097006
81.765,457.32,0.097209
82.094,457.32,0.097411
82.425,457.31,0.097614
82.756,457.31,0.097817
83.087,457.31,0.098019
83.42,457.31,0.098227
83.753,457.31,0.098435
84.086,457.31,0.098643
84.421,457.3,0.098852
84.756,457.3,0.09906
85.092,457.3,0.099268
85.428,457.3,0.099477
85.766,457.3,0.099685
86.104,457.29,0.099894
86.442,457.29,0.1001
86.782,457.29,0.10032
87.122,457.29,0.10053
87.462,457.29,0.10074
87.804,457.28,0.10096
88.146,457.28,0.10117
88.489,457.28,0.10137
88.833,457.28,0.10157
89.177,457.28,0.10177
89.522,457.27,0.10198
89.868,457.27,0.10218
90.214,457.27,0.10239
90.561,457.27,0.1026
90.909,457.27,0.10281
91.258,457.27,0.10301
91.607,457.26,0.10322
91.957,457.26,0.10342
92.307,457.26,0.10362
92.659,457.26,0.10382
93.011,457.26,0.10402
93.364,457.25,0.10421
93.717,457.25,0.10442
94.071,457.25,0.10463
94.426,457.25,0.10483
94.782,457.25,0.10504
95.138,457.24,0.10524
95.495,457.24,0.10545
95.853,457.24,0.10566
96.212,457.24,0.10587
96.571,457.24,0.10609
96.931,457.23,0.1063
97.291,457.23,0.10651
97.652,457.23,0.10672
98.014,457.23,0.10692
98.377,457.23,0.10713
98.741,457.22,0.10734
99.105,457.22,0.10756
99.47,457.22,0.10777
99.835,457.22,0.10798
100.2,457.22,0.10819
100.57,457.21,0.1084
100.94,457.21,0.10862
101.3,457.21,0.10883
101.67,457.21,0.10904
102.04,457.21,0.10926
102.41,457.21,0.10947
102.79,457.2,0.10968
103.16,457.2,0.10988
103.53,457.2,0.11009
103.9,457.2,0.1103
104.28,457.2,0.11051
104.65,457.19,0.11072
105.03,457.19,0.11094
105.4,457.19,0.11115
105.78,457.19,0.11137
106.16,457.19,0.11158
106.54,457.18,0.11179
106.92,457.18,0.112
107.3,457.18,0.11222
107.68,457.18,0.11243
108.06,457.18,0.11264
108.44,457.17,0.11286
108.82,457.17,0.11307
109.21,457.17,0.11328
109.59,457.17,0.1135
109.98,457.17,0.11371
110.36,457.16,0.11392
110.75,457.16,0.11414
111.13,457.16,0.11435
111.52,457.16,0.11456
111.91,457.16,0.11478
112.3,457.15,0.11498
112.69,457.15,0.11519
113.08,457.15,0.1154
113.47,457.15,0.11561
113.86,457.15,0.11581
114.26,457.15,0.11603
114.65,457.14,0.11625
115.05,457.14,0.11647
115.44,457.14,0.11669
115.84,457.14,0.11691
116.23,457.14,0.11713
116.63,457.13,0.11734
117.03,457.13,0.11756
117.43,457.13,0.11778
117.83,457.13,0.118
118.23,457.13,0.11821
118.63,457.12,0.11842
119.03,457.12,0.11863
119.43,457.12,0.11884
119.83,457.12,0.11905
120.24,457.12,0.11926
120.64,457.11,0.11948
121.05,457.11,0.1197
121.45,457.11,0.11991
121.86,457.11,0.12013
122.27,457.11,0.12034
122.67,457.1,0.12055
123.08,457.1,0.12077
123.49,457.1,0.12098
123.9,457.1,0.12119
124.31,457.1,0.12141
124.72,457.09,0.12163
125.14,457.09,0.12184
125.55,457.09,0.12206
125.96,457.09,0.12228
126.38,457.09,0.12249
126.79,457.08,0.1227
127.21,457.08,0.12291
127.63,457.08,0.12312
128.04,457.08,0.12334
128.46,457.08,0.12355
128.88,457.07,0.12377
129.3,457.07,0.12399
129.72,457.07,0.1242
130.14,457.07,0.12442
130.56,457.07,0.12463
130.99,457.06,0.12484
131.41,457.06,0.12506
131.83,457.06,0.12527
132.26,457.06,0.12548
132.69,457.06,0.1257
133.11,457.05,0.12592
133.54,457.05,0.12614
133.97,457.05,0.12636
134.39,457.05,0.12658
134.82,457.05,0.1268
135.25,457.04,0.12702
135.68,457.04,0.12724
136.12,457.04,0.12745
136.55,457.04,0.12767
136.98,457.04,0.12789
137.41,457.04,0.1281
137.85,457.03,0.12832
138.28,457.03,0.12853
138.72,457.03,0.12874
139.16,457.03,0.12897
139.59,457.03,0.12919
140.03,457.02,0.12942
140.47,457.02,0.12964
140.91,457.02,0.12987
141.35,457.02,0.13008
141.79,457.02,0.1303
142.23,457.01,0.13052
142.68,457.01,0.13073
143.12,457.01,0.13095
143.56,457.01,0.13117
144.01,457.01,0.13138
144.45,457,0.1316
144.9,457,0.13182
145.35,457,0.13203
145.79,457,0.13226
146.24,457,0.13249
146.69,456.99,0.13272
147.14,456.99,0.13294
147.59,456.99,0.13317
148.04,456.99,0.13339
148.5,456.99,0.13361
148.95,456.98,0.13382
149.4,456.98,0.13404
149.86,456.98,0.13426
150.31,456.98,0.13448
150.77,456.98,0.1347
151.22,456.97,0.13492
151.68,456.97,0.13515
152.14,456.97,0.13537
152.6,456.97,0.13558
153.06,456.97,0.13579
153.52,456.96,0.136
153.98,456.96,0.13621
154.44,456.96,0.13642
154.9,456.96,0.13665
155.37,456.96,0.13688
155.83,456.95,0.13711
156.29,456.95,0.13735
156.76,456.95,0.13758
157.23,456.95,0.13779
157.69,456.95,0.13801
158.16,456.94,0.13822
158.63,456.94,0.13844
159.1,456.94,0.13866
159.57,456.94,0.13887
160.04,456.94,0.13909
160.51,456.93,0.13931
160.98,456.93,0.13953
161.46,456.93,0.13975
161.93,456.93,0.13998
162.4,456.93,0.1402
162.88,456.92,0.14043
163.36,456.92,0.14065
163.83,456.92,0.14088
164.31,456.92,0.1411
164.79,456.92,0.14132
165.27,456.91,0.14154
165.75,456.91,0.14176
166.23,456.91,0.14198
166.71,456.91,0.14221
167.19,456.91,0.14244
167.67,456.9,0.14267
168.16,456.9,0.1429
168.64,456.9,0.14313
169.13,456.9,0.14335
169.61,456.9,0.14356
170.1,456.89,0.14378
170.59,456.89,0.14399
171.07,456.89,0.14421
171.56,456.89,0.14442
172.05,456.89,0.14464
172.54,456.88,0.14486
173.03,456.88,0.14508
173.52,456.88,0.1453
174.02,456.88,0.14552
174.51,456.88,0.14574
175,456.87,0.14595
175.5,456.87,0.14617
176,456.87,0.14639
176.49,456.87,0.14662
176.99,456.87,0.14684
177.49,456.86,0.14707
177.98,456.86,0.1473
178.48,456.86,0.14753
178.98,456.86,0.14775
179.49,456.86,0.14798
179.99,456.85,0.1482
180.49,456.85,0.14843
180.99,456.85,0.14865
181.5,456.85,0.14887
182,456.84,0.14908
182.51,456.84,0.1493
183.01,456.84,0.14951
183.52,456.84,0.14973
184.03,456.84,0.14996
184.54,456.83,0.15019
185.04,456.83,0.15042
185.55,456.83,0.15065
186.07,456.83,0.15088
186.58,456.83,0.15111
187.09,456.82,0.15134
187.6,456.82,0.15156
188.12,456.82,0.15179
188.63,456.82,0.15202
189.15,456.82,0.15224
189.66,456.81,0.15247
190.18,456.81,0.15269
190.7,456.81,0.15291
191.22,456.81,0.15313
191.73,456.81,0.15336
192.25,456.8,0.15359
